roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
10,65,9.65,-1.45,-75.5805450880565,36.652547069836,-116,9.334,14.884593634058
10,66,9.8,-1.45,-76.4068931631892,39.5500967638187,-120.6,12.935,14.6853500946673
10,67,9.95,-1.45,-75.6199804900656,40.0921132338619,-93,15.654,14.471941479146
10,68,10.1,-1.45,-75.9969497699848,42.3831912822737,-105,4.631,14.2459360074167
10,69,10.25,-1.45,-75.7769999251341,46.4579489703571,-110.6,0.00399999999999068,13.9957384261009
10,70,10.4,-1.45,-76.6765065347826,45.0669277597623,-106.6,4.949,13.7279648392486
10,71,10.55,-1.45,-75.2383212756409,45.8046403034,-102.2,10.29,13.4520833367278
10,72,10.7,-1.45,-75.2864298494561,46.7156970718539,-121.2,7.78200000000001,13.1693029209453
10,73,10.85,-1.45,-75.779187464685,46.7920124474009,-126.4,12.066,12.8807912184639
10,74,11,-1.45,-76.8902887362123,44.2725428075475,-115.2,0.0360000000000014,12.5827859224595
10,75,11.15,-1.45,-75.9977719789362,47.9821201232879,-108.6,7.52500000000001,12.26782903361
10,76,11.3,-1.45,-76.658626930913,46.4694202555361,-117,0.00100000000000477,11.9503996461435
10,77,11.45,-1.45,-75.8288578551291,45.3269693832868,-121.8,3.93600000000001,11.6313161473597
10,78,11.6,-1.45,-76.1480615709027,45.88230600651,-118.8,0.0870000000000033,11.3113767965188
10,79,11.75,-1.45,-75.7306796990166,44.4824927523662,-119.6,0.0520000000000067,10.9912893121785
10,80,11.9,-1.45,-76.4468656109318,45.8093570278229,-120.4,0.0300000000000011,10.741076241001
10,81,12.05,-1.45,-75.9995943445748,44.8077021307813,-125.4,4.22200000000001,11.051443198569
10,82,12.2,-1.45,-76.9351038400507,46.5499163510415,-119.6,2.373,11.3520109049763
10,83,12.35,-1.45,-76.652964170149,44.1683859645188,-122.8,0.0460000000000065,11.6425879234709
10,84,12.5,-1.45,-76.7822420482366,42.7674119570025,-127.6,4.07899999999999,11.923123762949
10,85,12.65,-1.45,-76.2688488572595,42.6477662456403,-124.2,0.0760000000000076,12.1936267695262
10,86,12.8,-1.45,-77.1407874723131,43.0224559267636,-125,0.0170000000000101,12.453690015847
10,87,12.95,-1.45,-76.4606842207593,43.2356712652165,-123.4,2.34399999999999,12.6895090223017
10,88,13.1,-1.45,-77.3135079966484,43.4100410384106,-119.8,6.65900000000001,12.9155637916152
10,89,13.25,-1.45,-76.0742622513517,41.2141308217542,-127.2,0.0390000000000015,13.1319040466835
11,43,6.35,-1.6,-90.4725601376249,47.6950385807506,-148,6.85499999999999,21.96506448362
11,44,6.5,-1.6,-90.3122344311311,26.136430868901,175.2,175.199999999956,19.4112720048677
